scenario,point,arm,metric,value_ms,pair_spread_ms,resolved,separated
s1,4,default,barrier_release_ns,198.367825,27.538824,yes,yes
s1,4,heuristic,barrier_release_ns,195.052164,27.538824,yes,yes
s1,4,size,barrier_release_ns,161.053387,27.538824,yes,yes
s1,4,wait,barrier_release_ns,116.339528,27.538824,yes,yes
s1,16,default,barrier_release_ns,173.120699,15.774814,yes,yes
s1,16,heuristic,barrier_release_ns,171.055193,15.774814,yes,yes
s1,16,size,barrier_release_ns,146.362647,15.774814,yes,yes
s1,16,wait,barrier_release_ns,113.015479,15.774814,yes,yes
s1,32,default,barrier_release_ns,152.308646,21.374535,yes,yes
s1,32,heuristic,barrier_release_ns,159.915048,21.374535,yes,yes
s1,32,size,barrier_release_ns,147.970802,21.374535,yes,yes
s1,32,wait,barrier_release_ns,115.323023,21.374535,yes,yes
s2,0.5,default,phase_ns,645.403592,23.709751,yes,yes
s2,0.5,heuristic,phase_ns,642.505028,23.709751,yes,yes
s2,0.5,size,phase_ns,542.146757,23.709751,yes,yes
s2,0.5,wait,phase_ns,421.693621,23.709751,yes,yes
s2,2.0,default,phase_ns,1102.897712,64.746465,yes,yes
s2,2.0,heuristic,phase_ns,1148.457358,64.746465,yes,yes
s2,2.0,size,phase_ns,1078.927335,64.746465,yes,yes
s2,2.0,wait,phase_ns,993.49478,64.746465,yes,yes
s4,4,default,generation_release_ns,388.338768,21.348556,yes,yes
s4,4,heuristic,generation_release_ns,390.035125,21.348556,yes,yes
s4,4,size,generation_release_ns,363.716694,21.348556,yes,yes
s4,4,wait,generation_release_ns,318.279342,21.348556,yes,yes
s4,16,default,generation_release_ns,376.353234,50.497422,no,no
s4,16,heuristic,generation_release_ns,365.378246,50.497422,no,no
s4,16,size,generation_release_ns,386.372182,50.497422,no,no
s4,16,wait,generation_release_ns,358.97366,50.497422,no,no
s4,32,default,generation_release_ns,410.84448,65.665003,no,no
s4,32,heuristic,generation_release_ns,453.278142,65.665003,no,no
s4,32,size,generation_release_ns,445.094625,65.665003,no,no
s4,32,wait,generation_release_ns,407.255563,65.665003,no,no
