share,concurrency,dom_us,ost_us,ost_over_dom,resolved,dom_read_us,ost_read_us
distinct,1,282.96,998.486,3.53,yes,4.972,417.768
distinct,2,423.732,929.259,2.19,yes,11.616,417.554
distinct,4,405.576,840.113,2.07,yes,11.133,339.824
distinct,8,393.761,688.47,1.75,yes,11.137,290.167
distinct,16,371.227,729.923,1.97,yes,9.958,295.218
distinct,32,412.964,622.657,1.51,yes,11.538,251.131
same,1,283.876,762.194,2.68,yes,5.416,366.504
same,2,352.38,789.111,2.24,yes,11.53,349.102
same,4,337.631,674.537,2.0,yes,9.738,289.619
same,8,331.319,652.054,1.97,yes,9.666,269.928
same,16,401.492,690.836,1.72,yes,10.244,269.752
same,32,342.152,680.557,1.99,yes,10.608,244.628
