size_bytes,size_kib,dom_us,ost_us,saved_us,speedup,read_share,ost_rpcs_per_file
4096,4.0,422.862,1104.745,681.882,2.612542626199564,0.0513,0.0
8192,8.0,396.345,1116.523,720.178,2.817048278646129,0.0465,0.0
12288,12.0,489.646,1131.266,641.62,2.3103752506913158,0.0502,0.0
16384,16.0,436.052,1134.197,698.145,2.601059048003449,0.0462,0.0
32768,32.0,465.257,1235.804,770.548,2.6561749742615373,0.0529,0.0
65536,64.0,520.984,1321.224,800.24,2.536016461158116,0.0678,0.0
81920,80.0,534.293,1359.122,824.83,2.5437765420845864,0.0756,0.0
98304,96.0,629.835,1383.562,753.728,2.196705486357538,0.091,0.0
114688,112.0,584.0,1446.038,862.038,2.4760924657534247,0.0829,0.0
131072,128.0,1102.468,1494.25,391.782,1.3553681376693019,0.6809,0.0
163840,160.0,1525.639,1545.449,19.81,1.0129847231225735,0.5452,1.0
262144,256.0,1618.942,1761.324,142.382,1.0879475608144085,0.589,1.0
