size_bytes,dom2_ns,dom3_ns,ost_ns,saved_ns,read_share,ost_rpcs_per_file
4096,422862,484946,1104745,681882,0.0513,0.0
8192,396345,405143,1116523,720178,0.0465,0.0
12288,489646,450976,1131266,641620,0.0502,0.0
16384,436052,456759,1134197,698145,0.0462,0.0
32768,465257,439417,1235804,770548,0.0529,0.0
65536,520984,534792,1321224,800240,0.0678,0.0
81920,534293,587619,1359122,824830,0.0756,0.0
98304,629835,608838,1383562,753728,0.091,0.0
114688,584000,635872,1446038,862038,0.0829,0.0
131072,1102468,1093863,1494250,391782,0.6809,0.0
163840,1525639,1402302,1545449,19810,0.5452,1.0
262144,1618942,1636668,1761324,142382,0.589,1.0
