extent_bytes,size_bytes,files,predicted_kib,observed_kib,drift_kib,ratio,resolvable
65536,4096,5000,20000,45218,187252,2.261,no
65536,16384,4096,65536,13142,25446,0.201,yes
65536,65536,1024,65536,0,124400,0.0,no
65536,262144,500,32000,0,63552,0.0,no
65536,1048576,500,32000,0,48,0.0,no
131072,4096,5000,20000,20284,104,1.014,yes
131072,16384,4096,65536,65740,250,1.003,yes
131072,65536,1024,65536,0,296,0.0,no
131072,262144,500,64000,0,20,0.0,no
131072,1048576,500,64000,-734,63954,-0.011,no
262144,4096,5000,20000,19794,60306,0.99,no
262144,16384,4096,65536,12528,10630,0.191,yes
262144,65536,1024,65536,0,8288,0.0,no
262144,262144,500,128000,0,28162,0.0,no
262144,1048576,500,128000,65014,128278,0.508,no
