share,concurrency,dom_ns,dom_spread_ns,ost_ns,ost_spread_ns,ratio,resolved,dom_read_ns,ost_read_ns
distinct,1,282960,185796,998486,317076,3.53,yes,4972,417768
distinct,2,423732,64233,929259,16888,2.19,yes,11616,417554
distinct,4,405576,68450,840113,147814,2.07,yes,11133,339824
distinct,8,393761,71214,688470,114478,1.75,yes,11137,290167
distinct,16,371227,76358,729923,106596,1.97,yes,9958,295218
distinct,32,412964,28258,622657,87736,1.51,yes,11538,251131
same,1,283876,101392,762194,132652,2.68,yes,5416,366504
same,2,352380,74151,789111,184663,2.24,yes,11530,349102
same,4,337631,59273,674537,108068,2.0,yes,9738,289619
same,8,331319,40895,652054,123023,1.97,yes,9666,269928
same,16,401492,82779,690836,208057,1.72,yes,10244,269752
same,32,342152,131831,680557,162656,1.99,yes,10608,244628
